ID,Pos,Games ,MIN,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,OREB,DREB,TotalREB,AST,STL,BLK,TOV,PF,PPG,ASTPG,REBPG,STLPG,BLKPG,PFPG,MINPG,eFG,PER,TS%,USG%,OBPM,DBPM,VORP,Salary
10491,C,65,1340,227,436,0.521,0,1,0,227,435,0.522,105,150,0.7,125,180,305,51,29,20,80,183,562,0.784615385,4.692307692,0.446153846,0.307692308,2.815384615,20.61538462,0.520642202,15.3,0.557,19.3,-0.4,-1.8,-0.1,3534699
10523,SG,65,2338,425,1068,0.398,120,341,0.352,305,727,0.42,151,204,0.74,146,268,414,139,67,19,141,130,1784,2.138461538,6.369230769,1.030769231,0.292307692,2,35.96923077,0.45411985,15.1,0.484,24.6,1.7,-2.5,0.7,3088278
10538,C,40,533,67,133,0.504,0,0,NA,67,133,0.504,36,61,0.59,37,91,128,18,9,22,23,79,170,0.45,3.2,0.225,0.55,1.975,13.325,0.503759398,12.5,0.532,15.5,-2.4,0.2,0,2703413
10561,PG,82,2825,482,1024,0.471,55,165,0.333,427,859,0.497,180,252,0.714,72,270,342,449,96,19,151,169,1529,5.475609756,4.170731707,1.170731707,0.231707317,2.06097561,34.45121951,0.497558594,17.3,0.528,20.4,1.8,0.2,2.9,8409354
10577,SG,49,473,53,129,0.411,9,32,0.281,44,97,0.454,38,60,0.633,14,41,55,68,13,3,36,70,222,1.387755102,1.12244898,0.265306122,0.06122449,1.428571429,9.653061224,0.445736434,,,,,,,1676534
10592,PG,61,2126,371,798,0.465,16,53,0.302,355,745,0.477,233,312,0.747,85,162,247,275,86,34,196,140,1102,4.508196721,4.049180328,1.409836066,0.557377049,2.295081967,34.85245902,0.474937343,17.6,0.53,25,1.4,0.1,1.9,4508932
10645,PF,45,616,83,198,0.419,0,0,NA,83,198,0.419,25,33,0.758,42,77,119,16,12,28,27,81,191,0.355555556,2.644444444,0.266666667,0.622222222,1.8,13.68888889,0.419191919,10.5,0.449,18.3,-3.7,-0.1,-0.3,2582494
10672,PG,82,2838,430,941,0.457,12,65,0.185,418,876,0.477,342,411,0.832,127,239,366,501,142,25,215,194,1373,6.109756098,4.463414634,1.731707317,0.304878049,2.365853659,34.6097561,0.463336876,18.8,0.541,20.7,2.2,0.4,3.3,13682090
10694,C,20,545,79,165,0.479,1,4,0.25,78,161,0.484,67,85,0.788,36,75,111,17,11,11,31,71,235,0.85,5.55,0.55,0.55,3.55,27.25,0.481818182,14.6,0.558,19.5,-1.7,-1.9,-0.2,2565391
10713,PG,79,2247,291,736,0.395,135,429,0.315,156,307,0.508,123,144,0.854,63,163,226,311,133,16,155,148,1722,3.936708861,2.860759494,1.683544304,0.202531646,1.873417722,28.44303797,0.487092391,15.6,0.525,19.4,1.3,1.1,2.5,4232896
